id,name
1000203-005,港邊里
1000203-007,隘丁里
1000203-008,新城里
1000203-009,聖湖里
1000203-010,蘇西里
1000203-011,蘇北里
1000203-012,蘇南里
1000203-013,蘇東里
1000203-014,長安里
1000203-015,永光里
1000203-016,永春里
1000203-017,永樂里
1000203-018,南安里
1000203-019,南正里
1000203-020,南成里
1000203-021,南興里
1000203-022,南寧里
1000203-023,南建里
1000203-024,東澳里
1000203-025,南強里
1000203-026,朝陽里
1000203-027,聖愛里
1000204-001,石城里
1000204-002,大里里
1000204-003,大溪里
1000204-004,合興里
1000204-005,更新里
1000204-006,外澳里
1000204-007,港口里
1000204-008,武營里
1000204-009,大坑里
1000204-010,城東里
1000204-011,城北里
1000204-012,城西里
1000204-013,城南里
1000204-014,竹安里
1000204-015,新建里
1000204-016,拔雅里
1000204-017,福成里
1000204-018,金面里
1000204-019,金盈里
1000204-020,頂埔里
1000204-021,下埔里
1000204-022,中崙里
1000204-023,二城里
1000204-024,龜山里
1000205-001,白雲村
1000205-002,玉石村
1000205-003,德陽村
1000205-004,大忠村
1000205-005,大義村
1000205-006,六結村
1000205-007,二龍村
1000205-008,時潮村
1000205-009,玉田村
1000205-010,三民村
1000205-011,林美村
1000205-012,白鵝村
1000205-013,玉光村
1000205-014,光武村
1000205-015,吳沙村
1000205-016,龍潭村
1000205-017,匏崙村
1000205-018,二結村
1000206-001,吉祥村
1000206-002,美福村
1000206-003,新南村
1000206-004,東港村
1000206-005,復興村
1000206-006,過嶺村
1000206-007,永鎮村
1000206-008,忠孝村
1000206-009,古亭村
1000206-010,功勞村
1000206-011,美城村
1000206-012,新社村
1000206-013,大福村
1000206-014,古結村
1000207-001,員山村
1000207-002,尚德村
1000207-003,惠好村
1000207-004,七賢村
1000207-005,深溝村
1000207-006,蓁巷村
1000207-007,內城村
1000207-008,中華村
1000207-009,永和村
1000207-010,頭分村
1000207-011,枕山村
1000207-012,同樂村
1000207-013,湖東村
1000207-014,逸仙村
1000207-015,湖北村
1000207-016,湖西村
1000208-001,武淵村
1000208-002,珍珠村
1000208-003,補城村
1000208-004,三奇村
1000208-005,大興村
1000208-006,東城村
1000208-007,香和村
1000208-008,南興村
1000208-009,冬山村
1000208-010,安平村
1000208-011,太和村
1000208-012,八寶村
1000208-013,丸山村
1000208-014,中山村
1000208-015,順安村
1000208-016,永美村
1000208-017,群英村
1000208-018,清溝村
1000208-019,鹿埔村
1000208-020,得安村
1000208-021,廣興村
1000208-022,廣安村
1000208-023,柯林村
1000208-024,大進村
1000209-001,三興村
1000209-002,二結村
1000209-003,鎮安村
1000209-004,上四村
1000209-005,中興村
1000209-006,四結村
1000209-007,福興村
1000209-008,五結村
1000209-009,大吉村
1000209-010,協和村
